family	status	by	source	says
WANT:appears	cannot test: I do not have a word for it	library	https://en.wikipedia.org/wiki/Ms._Pac-Man	The game's success inspired a variety of successful merchandise, several ports for numerous home consoles and handheld systems, a television cartoon that included Pac-Man, and numerous video game sequels and remakes which spawned a Ms.
WANT:appears	cannot test: I do not have a word for it	library	https://en.wikipedia.org/wiki/Puzzle_Bobble	Its characteristically cute Japanese animation and music, along with its play mechanics and level designs, made it successful as an arcade title and spawned several sequels and ports to home systems.
WANT:becomes-size	cannot test: I do not have a word for it	library	https://en.wikipedia.org/wiki/Snake_%28video_game_genre%29	Snake is a genre of action video games where the player maneuvers the end of a growing line, often themed as a snake.
WANT:becomes-size	cannot test: I do not have a word for it	library	https://en.wikipedia.org/wiki/History_of_artificial_intelligence	Nevertheless, research and funding continued to grow under other names.
WANT:becomes-size	cannot test: I do not have a word for it	library	https://en.wikipedia.org/wiki/Yoshi_%28video_game%29	The monsters fall in from the top of the screen to build vertical stacks; the player must prevent a stack from growing too high such that it exits the play field.
WANT:follow	cannot test: I do not have a word for it	library	https://en.wikipedia.org/wiki/Lights_Out_%28Lanterns%29	The series follows experienced Lantern Hal Jordan and new recruit John Stewart as they investigate a murder in Rushville, Nebraska, which Jordan believes is an extraterrestrial incident and leads them to darker mysteries and reckonings.
WANT:follow	cannot test: I do not have a word for it	library	https://en.wikipedia.org/wiki/List_of_Pac-Man_video_games	Most Pac-Man games are maze chase games, but it has also delved into other genres, such as platformers, racing, and sports.
WANT:follow	cannot test: I do not have a word for it	library	https://en.wikipedia.org/wiki/Snake_%28video_game_genre%29	Blockade and the initial wave of clones that followed were purely abstract and did not use snake terminology.
WANT:follow	cannot test: I do not have a word for it	library	https://en.wikipedia.org/wiki/Sokoban	Following that debut, Thinking Rabbit and its licensed partners developed a series of new titles until 2000.
WANT:follow	cannot test: I do not have a word for it	library	https://en.wikipedia.org/wiki/OpenAI_o3	On January 31, 2025, OpenAI released a smaller model, o3-mini, followed on April 16 by o3 and o4-mini.
WANT:merge-split	cannot test: I do not have a word for it	library	https://en.wikipedia.org/wiki/It_Takes_Two_%28video_game%29	The game is designed around two-player cooperative multiplayer, playable either online or locally in split-screen.
ahead	borne out: accounts for 32 cases	library	https://en.wikipedia.org/wiki/Snake_%28video_game_genre%29	The player must keep the snake from colliding with both other obstacles and itself, which gets harder as the snake lengthens.
ahead	borne out: accounts for 32 cases	library	https://en.wikipedia.org/wiki/Sokoban	In Sokoban, the player pushes boxes in a warehouse to get them onto storage locations.
ahead	borne out: accounts for 32 cases	library	https://en.wikipedia.org/wiki/Sokoban	Boxes can only be pushed, never pulled, and only one box can be pushed at a time.
ahead	borne out: accounts for 32 cases	library	https://en.wikipedia.org/wiki/Sokoban	The Sokoban puzzle concept of pushing boxes to clear a path or move them to targets has also appeared in other video games.
ahead	borne out: accounts for 32 cases	library	https://en.wikipedia.org/wiki/Stray_%28video_game%29	The story follows a stray cat who falls into a walled city populated by robots, machines, and mutant bacteria; the cat sets out to return to the surface with the help of a drone companion, B-12.
cycle	borne out: accounts for 62 cases	library	https://en.wikipedia.org/wiki/Lights_Out_%28game%29	When the game starts, a random number or a stored pattern of these lights is switched on.
cycle	borne out: accounts for 62 cases	library	https://en.wikipedia.org/wiki/Lights_Out_%28game%29	Pressing any of the lights will toggle it and the adjacent lights.
cycle	borne out: accounts for 62 cases	library	https://en.wikipedia.org/wiki/Lights_Out_%28game%29	The goal of the puzzle is to switch all the lights off, preferably with as few button presses as possible.
cycle	borne out: accounts for 62 cases	library	https://en.wikipedia.org/wiki/Stray_%28video_game%29	It was released for the PlayStation 4, PlayStation 5, and Windows in July 2022, Xbox One and Xbox Series X/S in August 2023, macOS in December 2023, Nintendo Switch in November 2024, and Nintendo Switch 2 in May 2026.
cycle	borne out: accounts for 62 cases	library	https://en.wikipedia.org/wiki/It_Takes_Two_%28video_game%29	It was released for PlayStation 4, PlayStation 5, Windows, Xbox One, and Xbox Series X/S in March 2021, for Nintendo Switch in November 2022, and for Nintendo Switch 2 in October 2026.
line	borne out: accounts for 6 cases	library	https://en.wikipedia.org/wiki/Snake_%28video_game_genre%29	Snake is a genre of action video games where the player maneuvers the end of a growing line, often themed as a snake.
line	borne out: accounts for 6 cases	library	https://en.wikipedia.org/wiki/Snake_%28video_game_genre%29	The concept evolved into a single-player variant where a line with a head and tail gets longer with each piece of food eaten—often apples or eggs—increasing the likelihood of self-collision.
near	borne out: accounts for 17 cases	library	https://en.wikipedia.org/wiki/Lights_Out_%28game%29	Pressing any of the lights will toggle it and the adjacent lights.
touch	borne out: accounts for 2 cases	library	https://en.wikipedia.org/wiki/Ms._Pac-Man	Namco ultimately collected the same royalties on each Ms.
